,keyword,title,price,image_url,item_url,image_filepath
0,reloj maserati,Reloj Maserati,155.0,https://images1.vinted.net/t/03_025e0_gogh6XiD96b8Z65PoppJRbto/f800/1697203932.jpeg?s=57e68a2ecae9516181ee4c43371b0681e4f67d8d,https://www.vinted.es/items/3602652263-reloj-maserati,image_downloader/product_images\0.jpeg
1,reloj maserati,Orologio vintage Maserati,80.0,https://images1.vinted.net/t/01_00a3b_rcDuCsYRZMcrBTUNZjU7JYZx/f800/1697202892.jpeg?s=96e0287ffc33058ff4b3d45186cbd424a8481962,https://www.vinted.es/items/3602561211-orologio-vintage-maserati,image_downloader/product_images\1.jpeg
2,reloj maserati,Maserati - horloge Traguardo,590.0,https://images1.vinted.net/t/01_01ba0_rMk248ua3BBCrLyoZNrRCVLf/f800/1697196310.jpeg?s=e6807d526fbf867b15a75a37f3eabc5f1c339b33,https://www.vinted.es/items/3602008126-maserati-horloge-traguardo,image_downloader/product_images\2.jpeg
