keyword,title,price,image_url,item_url
reloj maserati,Orologio Maserati,180.0,https://images1.vinted.net/t/02_01f2e_grjSH8o89zSVGv4bTvsbof6n/f800/1697053054.jpeg?s=55ab168ea314904d0681f74ab07cb7156658324a,https://www.vinted.es/items/3596032974-orologio-maserati
reloj maserati,montre maserati ,150.0,https://images1.vinted.net/t/02_019ca_bxvRU9ytK6hDHtmDDcbcgquq/f800/1697049738.jpeg?s=3fd14e07c6d5055bb6001b43da06be71df969b02,https://www.vinted.es/items/3595790396-montre-maserati
reloj maserati,Orologio Maserati,85.0,https://images1.vinted.net/t/02_0085b_UWsWTT1kTW1FiCBpTmR2dbx2/f800/1697049737.jpeg?s=db777700c099209b4fc7df7dc745faf06630a786,https://www.vinted.es/items/3595790376-orologio-maserati
reloj maserati,Montre maserati,100.0,https://images1.vinted.net/t/02_01899_HhJUieFfEdeTY4swpBEzyZZ8/f800/1697045383.jpeg?s=8b87bb7338987a1a9169dddbd6f8b3b186e9f3a5,https://www.vinted.es/items/3595469189-montre-maserati
reloj maserati,Orologio Maserati,115.0,https://images1.vinted.net/t/02_000d6_xeLie45HGndQUiVKzAmvKoyE/f800/1697044071.jpeg?s=6f22ea9ac17d69c642462693f3f2b7a05ebf7388,https://www.vinted.es/items/3595367247-orologio-maserati
reloj maserati,Relógio Maserati ,100.0,https://images1.vinted.net/t/01_00d16_c5v8CT8a3sBL6tULKzzS7hA9/f800/1697041105.jpeg?s=d6e3e94490fb30d41326ff2e6c8d1c8fcd5c8162,https://www.vinted.es/items/3595124242-relogio-maserati
reloj maserati,Orologio automatico Maserati,400.0,https://images1.vinted.net/t/01_00573_veoK3B6hJAKeEYx7fNC1ooHE/f800/1697037902.jpeg?s=4279b52398802c58fbfb4d587b0fee509e0233d7,https://www.vinted.es/items/3594839746-orologio-automatico-maserati
reloj maserati,Montre Maserati noire et bleu,160.0,https://images1.vinted.net/t/01_01275_hiXcWbxbvHw7xak8VR6M4Maj/f800/1697036988.jpeg?s=86cc11eb21770f8049e94c0785e4671f6efce039,https://www.vinted.es/items/3594202642-montre-maserati-noire-et-bleu
reloj maserati,Orologio Maserati uomo ,120.0,https://images1.vinted.net/t/02_01cfc_93rZLgN9rE7RRXUC6K1zh2sM/f800/1697029636.jpeg?s=4ea615734c6a0f618093aeab30309bcd24ec89e0,https://www.vinted.es/items/3594088423-orologio-maserati-uomo
reloj maserati,Montre Homme Maserati ,150.0,https://images1.vinted.net/t/03_00ffe_Dm1Z3DYzKucznbgTWg3sXmu5/f800/1697012148.jpeg?s=944ff8a5d9689e79f32cd6e55c807981482ada96,https://www.vinted.es/items/3592633858-montre-homme-maserati
reloj maserati,Orologio Maserati ,112.0,https://images1.vinted.net/t/02_01f55_6ADxd9DvQ7NNgYKeMwAUQsmj/f800/1696977753.jpeg?s=4e8df38a5c7f145201ef6f39191029509c6a7bde,https://www.vinted.es/items/3592172558-orologio-maserati
reloj maserati,Maserati,140.0,https://images1.vinted.net/t/03_01845_K8zkVuMhdGR1ikptn7n6C8Kr/f800/1696975115.jpeg?s=b4634953c94e52587b0186b810baffe9a743203d,https://www.vinted.es/items/3592126186-maserati
reloj maserati,Orologio Maserati,230.0,https://images1.vinted.net/t/01_02660_zmJNrc9n3i9hpkd4DQVRFHpo/f800/1696968556.jpeg?s=925a957d86d0f6a90ecdf05f037c7fdbf2445e50,https://www.vinted.es/items/3591851921-orologio-maserati
reloj maserati,Orologio Maserati ,250.0,https://images1.vinted.net/t/01_01cb7_mcgQZ5hfVv9tHfbcTpY8AuLh/f800/1696968207.jpeg?s=e3c5a23f422c7c26ba9bf4324d9dc1a50cd42ddd,https://www.vinted.es/items/3591829546-orologio-maserati
reloj maserati,Montre Maserati argenté ,190.0,https://images1.vinted.net/t/01_001e6_E8oyC3LSGf2i8r23rqq4vF45/f800/1696965009.jpeg?s=dbb35a1bc8668c8a7c45be04b2810fdc373523c5,https://www.vinted.es/items/3591600341-montre-maserati-argente
reloj maserati,Orologio Maserati ,200.0,https://images1.vinted.net/t/01_02314_a4MgE3ZcY26EQSBMk4Yg3K3K/f800/1696962298.jpeg?s=03749eaa7d0d7d00911edb33bbd9d69a09cd123c,https://www.vinted.es/items/3591395529-orologio-maserati
reloj maserati,Orologio Maserati Cronografo,179.0,https://images1.vinted.net/t/03_0020e_DwdVqexVerrhKvEh8Wun1kuW/f800/1696957409.jpeg?s=1fa5a929fa9730bc26617bd93ebc310754b89897,https://www.vinted.es/items/3591021633-orologio-maserati-cronografo
reloj maserati,Montre Maserati automatic homme,325.0,https://images1.vinted.net/t/02_01007_hYLBhwaci7YPLTVDjFExky6R/f800/1696951767.jpeg?s=fab558b2437a2817d607e4f91d5c6872d75fb5d8,https://www.vinted.es/items/3590548635-montre-maserati-automatic-homme
reloj maserati,Orologgio Maseratti,160.0,https://images1.vinted.net/t/03_01a7a_nXeuKvRPwzDuL53VfMZbJGfZ/f800/1696942184.jpeg?s=a2d7f0994d6d50e86f73bec45a4769fcc87d8b52,https://www.vinted.es/items/3589735218-orologgio-maseratti
reloj maserati,Orologio Maserati,50.0,https://images1.vinted.net/t/03_02655_RYnv2YyK44CFE85qP8XrNGx1/f800/1696937085.jpeg?s=fd1b977974de354343bfc256b960f5e94cb4e156,https://www.vinted.es/items/3589302466-orologio-maserati
reloj maserati,Maserati - Orologio uomo ,150.0,https://images1.vinted.net/t/03_00d30_QETA9zV6M3bxsJ9wUeymBD3F/f800/1696935938.jpeg?s=b2f082717a9c41e09b0d90b55a17130d04cdaf62,https://www.vinted.es/items/3589208797-maserati-orologio-uomo
reloj maserati,Montre maserati,300.0,https://images1.vinted.net/t/02_02670_QL8Ey5uMaLbAN9QeAPHmT5Dn/f800/1696930684.jpeg?s=323de370c981a704fe1e497da438e4834cd6f9af,https://www.vinted.es/items/3588782323-montre-maserati
reloj maserati,Orologio Tradizione Maserati uomo,189.0,https://images1.vinted.net/t/01_01127_BNo4PPDqpUhMkYqnjsoAwJZG/f800/1697038608.jpeg?s=ea7e4d33681953d04e04007a01fe5708cdc84e94,https://www.vinted.es/items/3588675235-orologio-tradizione-maserati-uomo
reloj maserati,"Maserati Orologio Uomo, Collezione STILE, al Quarzo, Cronografo, in Acciaio - R8873642004",190.0,https://images1.vinted.net/t/01_00dbe_G7dQ6s7ca1Yq5jCwgzGmzn1E/f800/1696926702.jpeg?s=ef7e6960c2c8714ad6f24eb1b8f5174a27225b67,https://www.vinted.es/items/3588469882-maserati-orologio-uomo-collezione-stile-al-quarzo-cronografo-in-acciaio-r8873642004
reloj maserati,Maserati Competizion 43mm,139.0,https://images1.vinted.net/t/02_0089e_J3JKaZTU7PWhjU1nhNgSbhw2/f800/1696892290.jpeg?s=f17550e5b9f57e8a6bb7233159d7989745f093c3,https://www.vinted.es/items/3587957198-maserati-competizion-43mm
reloj maserati,Montre Maserati édition diamands,450.0,https://images1.vinted.net/t/02_00fbe_M2iVcSmABrj7bt7EGMbnUQf2/f800/1696883823.jpeg?s=e8ad29c49a2b4f383b62f8a92836df51f33be928,https://www.vinted.es/items/3587698595-montre-maserati-edition-diamands
reloj maserati,Vendo orologio crono Maserati,65.0,https://images1.vinted.net/t/03_01326_vctjBbh1bykQ4sE5dyiwgPQq/f800/1696883815.jpeg?s=0d22617472973185dc198123c2f81b8ec782a105,https://www.vinted.es/items/3587698147-vendo-orologio-crono-maserati
reloj maserati,Orologio donna Maserati,100.0,https://images1.vinted.net/t/02_01618_xqm6iZTVcEP9KWFjWAaDWpGy/f800/1696881417.jpeg?s=9379b8a5ef34acef1d9384a9e67e1896a4c040cf,https://www.vinted.es/items/3587538388-orologio-donna-maserati
reloj maserati,Orologio Maserati,120.0,https://images1.vinted.net/t/01_021f5_Ay11STb2tgE6yBTQ3M5ABCYb/f800/1696877747.jpeg?s=c36da30d6a22649b0dedc5c16ad73670d934b041,https://www.vinted.es/items/3587246375-orologio-maserati
reloj maserati,Monte Maserati ,120.0,https://images1.vinted.net/t/02_01fd0_83d5A98L5AnJULu8rdtYCANt/f800/1696871310.jpeg?s=a101e3f4f966ff4466a40b144db65dddc09f9f31,https://www.vinted.es/items/3586706430-monte-maserati
reloj maserati,Montre Maserati homme ,70.0,https://images1.vinted.net/t/03_01522_ueDkayZvjSKFgjyErfFhbbux/f800/1696871119.jpeg?s=7d900c3cf43a4be8668eb170e6c31797d64cff17,https://www.vinted.es/items/3586689946-montre-maserati-homme
reloj maserati,Montre Maserati ,100.0,https://images1.vinted.net/t/01_0162d_KgzPKxwksYbEbU6i9xvMJf4m/f800/1696871011.jpeg?s=0bcaf334e7fcac14a7439bff386973c2a1733bf4,https://www.vinted.es/items/3586680545-montre-maserati
reloj maserati,Orologio Al Quarzo Maserati Successo R8873621005,222.0,https://images1.vinted.net/t/01_01069_YYNTnZxEXCgG69wmuZjwmpSN/f800/1696864863.jpeg?s=a34234bc19b1419add00a8802f291b186a867b92,https://www.vinted.es/items/3586107187-orologio-al-quarzo-maserati-successo-r8873621005
